spotify_track_uri,track,artist,album,ms_played,mbid,release_year,artist_mbid,artist_name,error
spotify:track:0blkVa3NPwan2C2OueZWz1,The Wallflower Equation,Vylet Pony,Monarch of Monsters,51301149,56e1d18c-8b2b-4b2a-ab77-44d7a945d3c3,2024,6a84105c-af0a-4367-8d54-e7dd6ceb19af,Vylet Pony,
spotify:track:4TZo49HN2MkbWmHMTf4NcH,Octavarium,Dream Theater,Octavarium,164376088,e0c8ccf5-7e56-412a-95c4-3d99d7b38153,,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d,Dream Theater,
spotify:track:6Em6BtxvTsQrXFsFVzAEym,I'm Gone,Oliver Tree,Ugly is Beautiful,51237518,92009b37-184e-470d-8f9b-68e6e857b787,2021,1fa3bded-908f-47be-9784-3c9ef850682b,Oliver Tree,
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,Good News,Mac Miller,Circles,122801494,4e792d3f-a2c1-43b6-ad25-6a1febb86f2d,2020,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,Mac Miller,
spotify:track:7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,120153092,46fe768c-7b38-4147-9f02-815b9f0759e2,,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,
spotify:track:0tkBOcK7oRVXQJY97zzSvr,Telescope,Cage The Elephant,Melophobia,50534435,f6cfcf2c-0b87-408b-be0f-6bf060e7b7fa,2013,b41b38d4-ef3e-4f37-8c75-cfe9af999696,Cage the Elephant,
spotify:track:5bJ1DrEM4hNCafcDd1oxHx,Self Care,Mac Miller,Swimming,114973717,eaa56493-9460-46bc-8094-1cd3fa03e6c2,,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,Mac Miller,
spotify:track:0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,49859466,f79f99ee-927f-402a-96ba-9c90eb639737,2010,e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,
spotify:track:3Ev7BBcXJ1ZhTMkmdkj5q7,Lovedrug (Off That),Rav,New Moon,108883428,,,,,wrong_artist
spotify:track:2LNV0347QKt4AHxRSfCBij,Talk Tonight - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),49748735,bd3d2af4-0157-4446-9726-ef5ac1e511a4,1996,39ab1aed-75e0-4140-bd47-540276886b60,Oasis,
